program_clean,academic_year,level,tot_students,tot_male,tot_female,duration,rolling_cohort,female_pct,male_pct,equity_status,cohort_female,cohort_male,cohort_female_pct
ma (applied linguistics and tesol) - bangalore yeshwanthpur campus,2025,Post Graduate Degree,6,1,5,2,6,83.33333333,16.66666667,Highly Imbalanced,5,1,83.33333333
ma in digital media with analytics - bangalore yeshwanthpur campus,2025,Post Graduate Degree,17,3,14,2,17,82.35294118,17.64705882,Highly Imbalanced,14,3,82.35294118
master of arts (applied economics) - bangalore yeshwanthpur campus,2022,Post Graduate Degree,41,13,28,2,41,68.29268293,31.70731707,Moderately Imbalanced,28,13,68.29268293
master of arts (applied economics) - bangalore yeshwanthpur campus,2023,Post Graduate Degree,95,24,71,2,95,74.73684211,25.26315789,Highly Imbalanced,71,24,74.73684211
master of arts (applied economics) - bangalore yeshwanthpur campus,2024,Post Graduate Degree,74,16,58,2,74,78.37837838,21.62162162,Highly Imbalanced,58,16,78.37837838
master of arts (applied economics) - bangalore yeshwanthpur campus,2025,Post Graduate Degree,34,9,25,2,34,73.52941176,26.47058824,Highly Imbalanced,25,9,73.52941176
master of arts (clinical psychology) [recognised by rci] - bangalore yeshwanthpur campus,2025,Post Graduate Degree,10,2,8,2,10,80,20,Highly Imbalanced,8,2,80
master of arts (english with communication studies) - bangalore yeshwanthpur campus,2022,Post Graduate Degree,31,3,28,2,31,90.32258065,9.677419355,Highly Imbalanced,28,3,90.32258065
master of arts (english with communication studies) - bangalore yeshwanthpur campus,2023,Post Graduate Degree,73,2,71,2,73,97.26027397,2.739726027,Highly Imbalanced,71,2,97.26027397
master of arts (english with communication studies) - bangalore yeshwanthpur campus,2024,Post Graduate Degree,61,4,57,2,61,93.44262295,6.557377049,Highly Imbalanced,57,4,93.44262295
master of arts (english with communication studies) - bangalore yeshwanthpur campus,2025,Post Graduate Degree,33,8,25,2,33,75.75757576,24.24242424,Highly Imbalanced,25,8,75.75757576
master of commerce - bangalore yeshwanthpur campus,2023,Post Graduate Degree,12,6,6,2,12,50,50,Balanced,6,6,50
master of commerce - bangalore yeshwanthpur campus,2024,Post Graduate Degree,20,9,11,2,20,55,45,Moderately Imbalanced,11,9,55
master of commerce - bangalore yeshwanthpur campus,2025,Post Graduate Degree,24,10,14,2,24,58.33333333,41.66666667,Moderately Imbalanced,14,10,58.33333333
master of science (clinical psychology) - bangalore yeshwanthpur campus,2022,Post Graduate Degree,113,8,105,2,113,92.92035398,7.079646018,Highly Imbalanced,105,8,92.92035398
master of science (clinical psychology) - bangalore yeshwanthpur campus,2023,Post Graduate Degree,219,13,206,2,219,94.06392694,5.936073059,Highly Imbalanced,206,13,94.06392694
master of science (clinical psychology) - bangalore yeshwanthpur campus,2024,Post Graduate Degree,229,9,220,2,229,96.069869,3.930131004,Highly Imbalanced,220,9,96.069869
master of science (clinical psychology) - bangalore yeshwanthpur campus,2025,Post Graduate Degree,237,5,232,2,237,97.89029536,2.109704641,Highly Imbalanced,232,5,97.89029536
msc (artificial intelligence and cyber security) - bangalore yeshwanthpur campus,2025,Post Graduate Degree,66,34,32,2,66,48.48484848,51.51515152,Balanced,32,34,48.48484848
